champ_a,role_a,champ_b,role_b,winrate,matches
Aatrox,Top,XinZhao,Jungle,0.5069,7
Aatrox,Top,Fiddlesticks,Jungle,0.4289,7
Aatrox,Top,MasterYi,Jungle,0.5686,18
Aatrox,Top,Nunu,Jungle,0.5347,8
Aatrox,Top,Evelynn,Jungle,0.4367,7
Aatrox,Top,Chogath,Jungle,0.4588,15
Aatrox,Top,Shaco,Jungle,0.5079,6
Aatrox,Top,Nocturne,Jungle,0.5648,16
Aatrox,Top,JarvanIV,Jungle,0.429,25
Aatrox,Top,Elise,Jungle,0.4299,8
Aatrox,Top,MonkeyKing,Jungle,0.5658,17
Aatrox,Top,LeeSin,Jungle,0.4768,41
Aatrox,Top,Nidalee,Jungle,0.5352,11
Aatrox,Top,Udyr,Jungle,0.4626,7
Aatrox,Top,Talon,Jungle,0.5492,24
Aatrox,Top,Shyvana,Jungle,0.4723,15
Aatrox,Top,Graves,Jungle,0.4513,30
Aatrox,Top,Rengar,Jungle,0.509,12
Aatrox,Top,Hecarim,Jungle,0.5206,16
Aatrox,Top,Khazix,Jungle,0.5239,18
Aatrox,Top,Jayce,Jungle,0.439,11
Aatrox,Top,Diana,Jungle,0.5149,7
Aatrox,Top,Kayn,Jungle,0.53,16
Aatrox,Top,Zac,Jungle,0.4423,10
Aatrox,Top,Belveth,Jungle,0.4288,7
Aatrox,Top,Kindred,Jungle,0.4491,7
Aatrox,Top,Briar,Jungle,0.441,10
Aatrox,Top,Viego,Jungle,0.4977,24
Aatrox,Top,Zed,Jungle,0.4288,7
Aatrox,Top,Ekko,Jungle,0.4956,9
Aatrox,Top,Qiyana,Jungle,0.5038,24
Aatrox,Top,Vi,Jungle,0.5325,18
Aatrox,Top,Sylas,Jungle,0.526,21
Aatrox,Top,Lillia,Jungle,0.5123,8
Aatrox,Top,Naafiri,Jungle,0.5337,11
Aatrox,Top,Galio,Mid,0.5206,11
Aatrox,Top,TwistedFate,Mid,0.4931,28
Aatrox,Top,Leblanc,Mid,0.4517,16
Aatrox,Top,Vladimir,Mid,0.5124,12
Aatrox,Top,Ryze,Mid,0.4739,7
Aatrox,Top,Anivia,Mid,0.5079,7
Aatrox,Top,Kassadin,Mid,0.5196,15
Aatrox,Top,Irelia,Mid,0.4611,5
Aatrox,Top,Veigar,Mid,0.509,8
Aatrox,Top,Katarina,Mid,0.4948,17
Aatrox,Top,Cassiopeia,Mid,0.5414,6
Aatrox,Top,Nasus,Mid,0.4664,15
Aatrox,Top,Akali,Mid,0.5634,13
Aatrox,Top,Malzahar,Mid,0.4468,11
Aatrox,Top,Lux,Mid,0.4403,10
Aatrox,Top,Xerath,Mid,0.4509,17
Aatrox,Top,Ahri,Mid,0.5571,28
Aatrox,Top,Fizz,Mid,0.48,10
Aatrox,Top,Viktor,Mid,0.4823,31
Aatrox,Top,Lissandra,Mid,0.5004,18
Aatrox,Top,Diana,Mid,0.5323,12
Aatrox,Top,Syndra,Mid,0.514,23
Aatrox,Top,AurelionSol,Mid,0.51,5
Aatrox,Top,Zoe,Mid,0.5711,10
Aatrox,Top,Yasuo,Mid,0.5071,27
Aatrox,Top,Taliyah,Mid,0.5383,6
Aatrox,Top,Zed,Mid,0.4588,23
Aatrox,Top,Ekko,Mid,0.5297,12
Aatrox,Top,Qiyana,Mid,0.4565,10
Aatrox,Top,Azir,Mid,0.5308,5
Aatrox,Top,Sylas,Mid,0.4648,22
Aatrox,Top,Vex,Mid,0.5186,8
Aatrox,Top,Yone,Mid,0.511,19
Aatrox,Top,Locke,Mid,0.4542,15
Aatrox,Top,Aurora,Mid,0.4954,6
Aatrox,Top,Hwei,Mid,0.5546,10
Aatrox,Top,Sivir,ADC,0.5185,11
Aatrox,Top,Tristana,ADC,0.5241,26
Aatrox,Top,MissFortune,ADC,0.4289,16
Aatrox,Top,Ashe,ADC,0.5551,18
Aatrox,Top,Twitch,ADC,0.4343,14
Aatrox,Top,Caitlyn,ADC,0.4662,33
Aatrox,Top,Ezreal,ADC,0.5063,50
Aatrox,Top,Lux,ADC,0.5288,6
Aatrox,Top,Varus,ADC,0.4636,7
Aatrox,Top,Viktor,ADC,0.5592,13
Aatrox,Top,Ziggs,ADC,0.5116,7
Aatrox,Top,Draven,ADC,0.4635,11
Aatrox,Top,Kaisa,ADC,0.4712,64
Aatrox,Top,Yasuo,ADC,0.5612,8
Aatrox,Top,Jhin,ADC,0.457,56
Aatrox,Top,Zeri,ADC,0.5666,12
Aatrox,Top,Jinx,ADC,0.534,44
Aatrox,Top,Lucian,ADC,0.4762,28
Aatrox,Top,Samira,ADC,0.506,11
Aatrox,Top,Kalista,ADC,0.531,15
Aatrox,Top,Xayah,ADC,0.4633,10
Aatrox,Top,Aphelios,ADC,0.4947,18
Aatrox,Top,Yunara,ADC,0.4594,45
Aatrox,Top,Smolder,ADC,0.4291,6
Aatrox,Top,Alistar,Support,0.5233,17
Aatrox,Top,Soraka,Support,0.4849,13
Aatrox,Top,Morgana,Support,0.5445,9
Aatrox,Top,Zilean,Support,0.4834,10
Aatrox,Top,Sona,Support,0.4514,6
Aatrox,Top,Janna,Support,0.5299,16
Aatrox,Top,Karma,Support,0.4299,22
Aatrox,Top,Blitzcrank,Support,0.5484,24
Aatrox,Top,Brand,Support,0.5203,7
Aatrox,Top,Poppy,Support,0.4296,6
Aatrox,Top,Pantheon,Support,0.4757,14
Aatrox,Top,Leona,Support,0.4419,24
Aatrox,Top,Lux,Support,0.5259,15
Aatrox,Top,Xerath,Support,0.4303,10
Aatrox,Top,Nautilus,Support,0.4877,33
Aatrox,Top,Lulu,Support,0.5095,39
Aatrox,Top,Seraphine,Support,0.4633,17
Aatrox,Top,Velkoz,Support,0.5056,7
Aatrox,Top,Camille,Support,0.4315,9
Aatrox,Top,Braum,Support,0.4872,10
Aatrox,Top,Senna,Support,0.5535,14
Aatrox,Top,Nami,Support,0.5104,21
Aatrox,Top,Yuumi,Support,0.4946,14
Aatrox,Top,Thresh,Support,0.5287,56
Aatrox,Top,Bard,Support,0.4321,14
Aatrox,Top,Rakan,Support,0.5017,10
Aatrox,Top,Neeko,Support,0.5451,6
Aatrox,Top,Rell,Support,0.4994,9
Aatrox,Top,Pyke,Support,0.4466,19
Aatrox,Top,Renata,Support,0.5646,7
Aatrox,Top,Milio,Support,0.562,21
Aatrox,Top,Olaf,Top,0.4299,5
Aatrox,Top,Urgot,Top,0.4428,5
Aatrox,Top,Kayle,Top,0.4599,7
Aatrox,Top,Sion,Top,0.4753,8
Aatrox,Top,Teemo,Top,0.4924,11
Aatrox,Top,Tryndamere,Top,0.453,7
Aatrox,Top,Jax,Top,0.5276,16
Aatrox,Top,Singed,Top,0.5452,8
Aatrox,Top,Chogath,Top,0.5604,8
Aatrox,Top,DrMundo,Top,0.4344,5
Aatrox,Top,Irelia,Top,0.5698,12
Aatrox,Top,Gangplank,Top,0.5123,23
Aatrox,Top,Malphite,Top,0.5674,17
Aatrox,Top,Renekton,Top,0.5053,27
Aatrox,Top,Vayne,Top,0.4714,6
Aatrox,Top,Rumble,Top,0.4387,6
Aatrox,Top,Nasus,Top,0.4323,30
Aatrox,Top,Gragas,Top,0.4376,7
Aatrox,Top,Pantheon,Top,0.5698,5
Aatrox,Top,Mordekaiser,Top,0.5094,16
Aatrox,Top,Yorick,Top,0.5372,5
Aatrox,Top,Akali,Top,0.4962,7
Aatrox,Top,Garen,Top,0.4319,13
Aatrox,Top,Riven,Top,0.5457,5
Aatrox,Top,Shen,Top,0.5145,10
Aatrox,Top,Volibear,Top,0.5447,9
Aatrox,Top,Fiora,Top,0.5389,15
Aatrox,Top,Darius,Top,0.531,23
Aatrox,Top,Jayce,Top,0.4712,33
Aatrox,Top,Gnar,Top,0.4913,11
Aatrox,Top,Yasuo,Top,0.4597,13
Aatrox,Top,Camille,Top,0.4396,9
Aatrox,Top,TahmKench,Top,0.4414,5
Aatrox,Top,Illaoi,Top,0.4464,9
Aatrox,Top,Ornn,Top,0.4614,12
Aatrox,Top,Yone,Top,0.4814,35
Aatrox,Top,Ambessa,Top,0.5514,20
Aatrox,Top,Sett,Top,0.4288,12
Aatrox,Top,Gwen,Top,0.4609,6
Aatrox,Top,KSante,Top,0.5483,14
Aatrox,Top,Zaahen,Top,0.4909,15
Aatrox,Jungle,Yone,Top,0.5473,7
Aatrox,Jungle,Zed,Mid,0.5079,7
Aatrox,Jungle,Tristana,ADC,0.5652,6
Aatrox,Jungle,Kaisa,ADC,0.5171,11
Aatrox,Jungle,Jhin,ADC,0.5068,6
Aatrox,Jungle,Jinx,ADC,0.5038,9
Aatrox,Jungle,Lucian,ADC,0.4805,5
Aatrox,Jungle,Nautilus,Support,0.4749,5
Aatrox,Jungle,Lulu,Support,0.4891,6
Aatrox,Jungle,Thresh,Support,0.5421,6
Aatrox,Jungle,Graves,Jungle,0.471,5
Aatrox,Mid,Olaf,Top,0.5253,12
Aatrox,Mid,Sion,Top,0.5028,7
Aatrox,Mid,Teemo,Top,0.4497,7
Aatrox,Mid,Tryndamere,Top,0.5158,6
Aatrox,Mid,Jax,Top,0.4495,16
Aatrox,Mid,Chogath,Top,0.5298,6
Aatrox,Mid,DrMundo,Top,0.4609,6
Aatrox,Mid,Irelia,Top,0.4452,9
Aatrox,Mid,Gangplank,Top,0.5436,12
Aatrox,Mid,Malphite,Top,0.4779,10
Aatrox,Mid,Renekton,Top,0.5265,11
Aatrox,Mid,Nasus,Top,0.495,16
Aatrox,Mid,Gragas,Top,0.4852,6
Aatrox,Mid,Pantheon,Top,0.4814,6
Aatrox,Mid,Mordekaiser,Top,0.518,10
Aatrox,Mid,Yorick,Top,0.4292,6
Aatrox,Mid,Garen,Top,0.4443,12
Aatrox,Mid,Riven,Top,0.4465,5
Aatrox,Mid,Shen,Top,0.5102,8
Aatrox,Mid,Fiora,Top,0.5304,8
Aatrox,Mid,Darius,Top,0.503,12
Aatrox,Mid,Jayce,Top,0.5043,15
Aatrox,Mid,Gnar,Top,0.4747,8
Aatrox,Mid,Camille,Top,0.4608,5
Aatrox,Mid,Kled,Top,0.5054,5
Aatrox,Mid,Aatrox,Top,0.4454,10
Aatrox,Mid,Ornn,Top,0.4288,7
Aatrox,Mid,Yone,Top,0.5711,19
Aatrox,Mid,Ambessa,Top,0.5634,12
Aatrox,Mid,Sett,Top,0.4487,10
Aatrox,Mid,KSante,Top,0.453,10
Aatrox,Mid,Zaahen,Top,0.4986,8
Aatrox,Mid,MasterYi,Jungle,0.5621,8
Aatrox,Mid,Warwick,Jungle,0.5622,6
Aatrox,Mid,Nunu,Jungle,0.5264,7
Aatrox,Mid,Chogath,Jungle,0.5325,8
Aatrox,Mid,Shaco,Jungle,0.5154,9
Aatrox,Mid,Nocturne,Jungle,0.541,13
Aatrox,Mid,JarvanIV,Jungle,0.5299,15
Aatrox,Mid,MonkeyKing,Jungle,0.5376,12
Aatrox,Mid,LeeSin,Jungle,0.4667,28
Aatrox,Mid,Nidalee,Jungle,0.5642,7
Aatrox,Mid,Talon,Jungle,0.5185,15
Aatrox,Mid,Shyvana,Jungle,0.5465,7
Aatrox,Mid,Graves,Jungle,0.429,21
Aatrox,Mid,Rengar,Jungle,0.5305,12
Aatrox,Mid,Hecarim,Jungle,0.4619,10
Aatrox,Mid,Khazix,Jungle,0.4363,13
Aatrox,Mid,Diana,Jungle,0.5232,8
Aatrox,Mid,Kayn,Jungle,0.541,9
Aatrox,Mid,Belveth,Jungle,0.5055,6
Aatrox,Mid,Briar,Jungle,0.4827,6
Aatrox,Mid,Viego,Jungle,0.4673,20
Aatrox,Mid,Ekko,Jungle,0.5326,11
Aatrox,Mid,Qiyana,Jungle,0.4628,15
Aatrox,Mid,Vi,Jungle,0.4836,12
Aatrox,Mid,Sylas,Jungle,0.4754,14
Aatrox,Mid,Lillia,Jungle,0.5058,8
Aatrox,Mid,Naafiri,Jungle,0.5711,8
Aatrox,Mid,Sivir,ADC,0.4921,7
Aatrox,Mid,Tristana,ADC,0.5712,18
Aatrox,Mid,MissFortune,ADC,0.4648,7
Aatrox,Mid,Ashe,ADC,0.4415,9
Aatrox,Mid,Twitch,ADC,0.5014,10
Aatrox,Mid,Corki,ADC,0.5406,6
Aatrox,Mid,Caitlyn,ADC,0.4551,31
Aatrox,Mid,Ezreal,ADC,0.4508,27
Aatrox,Mid,Varus,ADC,0.4823,7
Aatrox,Mid,Viktor,ADC,0.5485,6
Aatrox,Mid,Ziggs,ADC,0.5218,5
Aatrox,Mid,Draven,ADC,0.4296,6
Aatrox,Mid,Syndra,ADC,0.5181,5
Aatrox,Mid,Kaisa,ADC,0.4489,38
Aatrox,Mid,Yasuo,ADC,0.5523,7
Aatrox,Mid,Jhin,ADC,0.5512,41
Aatrox,Mid,Zeri,ADC,0.5445,10
Aatrox,Mid,Jinx,ADC,0.433,37
Aatrox,Mid,Lucian,ADC,0.5039,13
Aatrox,Mid,Samira,ADC,0.4393,7
Aatrox,Mid,Kalista,ADC,0.4936,8
Aatrox,Mid,Xayah,ADC,0.5204,10
Aatrox,Mid,Aphelios,ADC,0.5156,13
Aatrox,Mid,Yunara,ADC,0.5141,32
Aatrox,Mid,Alistar,Support,0.4852,10
Aatrox,Mid,Soraka,Support,0.4666,11
Aatrox,Mid,Zilean,Support,0.562,9
Aatrox,Mid,Janna,Support,0.496,10
Aatrox,Mid,Karma,Support,0.4772,11
Aatrox,Mid,Swain,Support,0.4535,7
Aatrox,Mid,Blitzcrank,Support,0.5689,12
Aatrox,Mid,Pantheon,Support,0.5482,13
Aatrox,Mid,Leona,Support,0.4378,17
Aatrox,Mid,Lux,Support,0.4842,12
Aatrox,Mid,Xerath,Support,0.5336,7
Aatrox,Mid,Nautilus,Support,0.543,23
Aatrox,Mid,Lulu,Support,0.5091,33
Aatrox,Mid,Seraphine,Support,0.4776,10
Aatrox,Mid,Velkoz,Support,0.5683,5
Aatrox,Mid,Camille,Support,0.436,6
Aatrox,Mid,Braum,Support,0.511,11
Aatrox,Mid,Senna,Support,0.454,9
Aatrox,Mid,Nami,Support,0.4873,17
Aatrox,Mid,Yuumi,Support,0.4462,11
Aatrox,Mid,Thresh,Support,0.4856,35
Aatrox,Mid,Bard,Support,0.5451,10
Aatrox,Mid,Rakan,Support,0.4498,7
Aatrox,Mid,Rell,Support,0.4833,8
Aatrox,Mid,Pyke,Support,0.5303,12
Aatrox,Mid,Milio,Support,0.5083,11
Aatrox,Mid,Annie,Mid,0.5309,5
Aatrox,Mid,Galio,Mid,0.4345,8
Aatrox,Mid,TwistedFate,Mid,0.4809,12
Aatrox,Mid,Leblanc,Mid,0.5014,10
Aatrox,Mid,Vladimir,Mid,0.4553,7
Aatrox,Mid,Ryze,Mid,0.4292,6
Aatrox,Mid,Anivia,Mid,0.5128,6
Aatrox,Mid,Kassadin,Mid,0.5301,12
Aatrox,Mid,Irelia,Mid,0.5585,6
Aatrox,Mid,Veigar,Mid,0.5253,5
Aatrox,Mid,Katarina,Mid,0.5672,12
Aatrox,Mid,Orianna,Mid,0.4439,5
Aatrox,Mid,Nasus,Mid,0.4396,8
Aatrox,Mid,Akali,Mid,0.5477,11
Aatrox,Mid,Malzahar,Mid,0.4846,8
Aatrox,Mid,Lux,Mid,0.5061,6
Aatrox,Mid,Xerath,Mid,0.5364,14
Aatrox,Mid,Ahri,Mid,0.4801,23
Aatrox,Mid,Fizz,Mid,0.5438,11
Aatrox,Mid,Viktor,Mid,0.5376,28
Aatrox,Mid,Lissandra,Mid,0.4423,12
Aatrox,Mid,Diana,Mid,0.5179,6
Aatrox,Mid,Syndra,Mid,0.5705,15
Aatrox,Mid,Yasuo,Mid,0.5469,19
Aatrox,Mid,Taliyah,Mid,0.507,5
Aatrox,Mid,Zed,Mid,0.4976,16
Aatrox,Mid,Ekko,Mid,0.4381,10
Aatrox,Mid,Sylas,Mid,0.4291,15
Aatrox,Mid,Vex,Mid,0.4297,5
Aatrox,Mid,Yone,Mid,0.455,13
Aatrox,Mid,Locke,Mid,0.5389,11
Aatrox,Mid,Aurora,Mid,0.5702,5
Aatrox,ADC,LeeSin,Jungle,0.5015,8
Aatrox,ADC,Rengar,Jungle,0.4842,5
Aatrox,ADC,Viego,Jungle,0.4486,7
Aatrox,ADC,Sylas,Jungle,0.5406,7
Aatrox,ADC,Fizz,Mid,0.5216,5
Aatrox,ADC,Viktor,Mid,0.4797,7
Aatrox,ADC,Syndra,Mid,0.4967,7
Aatrox,ADC,Yasuo,Mid,0.4933,8
Aatrox,ADC,Karma,Support,0.5011,7
Aatrox,ADC,Nautilus,Support,0.5092,6
Aatrox,ADC,Lulu,Support,0.4449,5
Aatrox,ADC,Braum,Support,0.4588,6
Aatrox,ADC,Nami,Support,0.4298,7
Aatrox,ADC,Thresh,Support,0.5255,9
Aatrox,ADC,Tristana,ADC,0.5569,7
Aatrox,ADC,Caitlyn,ADC,0.4382,12
Aatrox,ADC,Ezreal,ADC,0.4494,7
Aatrox,ADC,Kaisa,ADC,0.4408,6
Aatrox,ADC,Jhin,ADC,0.5686,9
Aatrox,ADC,Jinx,ADC,0.4622,13
Aatrox,Support,Olaf,Top,0.4429,6
Aatrox,Support,Kayle,Top,0.4525,8
Aatrox,Support,Sion,Top,0.5166,10
Aatrox,Support,Teemo,Top,0.4661,13
Aatrox,Support,Warwick,Top,0.4896,5
Aatrox,Support,Tryndamere,Top,0.52,12
Aatrox,Support,Jax,Top,0.4291,13
Aatrox,Support,Singed,Top,0.5137,8
Aatrox,Support,Chogath,Top,0.5124,12
Aatrox,Support,DrMundo,Top,0.4683,9
Aatrox,Support,Irelia,Top,0.5243,16
Aatrox,Support,Gangplank,Top,0.5095,10
Aatrox,Support,Malphite,Top,0.4331,23
Aatrox,Support,Renekton,Top,0.5118,22
Aatrox,Support,Vayne,Top,0.4341,6
Aatrox,Support,Nasus,Top,0.4333,28
Aatrox,Support,Gragas,Top,0.5487,8
Aatrox,Support,Pantheon,Top,0.4438,7
Aatrox,Support,Mordekaiser,Top,0.4656,18
Aatrox,Support,Yorick,Top,0.4464,7
Aatrox,Support,Akali,Top,0.5678,7
Aatrox,Support,Kennen,Top,0.4762,6
Aatrox,Support,Garen,Top,0.4369,17
Aatrox,Support,Riven,Top,0.5558,6
Aatrox,Support,Shen,Top,0.5264,13
Aatrox,Support,Volibear,Top,0.431,8
Aatrox,Support,Fiora,Top,0.4899,9
Aatrox,Support,Darius,Top,0.4393,23
Aatrox,Support,Jayce,Top,0.5281,27
Aatrox,Support,Gnar,Top,0.4416,10
Aatrox,Support,Yasuo,Top,0.4585,14
Aatrox,Support,Camille,Top,0.5062,15
Aatrox,Support,TahmKench,Top,0.4967,6
Aatrox,Support,Kled,Top,0.5538,7
Aatrox,Support,Aatrox,Top,0.438,21
Aatrox,Support,Illaoi,Top,0.5111,11
Aatrox,Support,Ornn,Top,0.4861,9
Aatrox,Support,Yone,Top,0.4953,35
Aatrox,Support,Ambessa,Top,0.5323,16
Aatrox,Support,Sett,Top,0.4841,14
Aatrox,Support,Gwen,Top,0.4759,6
Aatrox,Support,KSante,Top,0.4895,15
Aatrox,Support,Zaahen,Top,0.4611,9
Aatrox,Support,XinZhao,Jungle,0.429,7
Aatrox,Support,Fiddlesticks,Jungle,0.5582,7
Aatrox,Support,MasterYi,Jungle,0.5397,12
Aatrox,Support,Warwick,Jungle,0.5182,7
Aatrox,Support,Evelynn,Jungle,0.5701,8
Aatrox,Support,Chogath,Jungle,0.4727,13
Aatrox,Support,Amumu,Jungle,0.4302,6
Aatrox,Support,Rammus,Jungle,0.5077,9
Aatrox,Support,Shaco,Jungle,0.4854,17
Aatrox,Support,Nocturne,Jungle,0.449,19
Aatrox,Support,JarvanIV,Jungle,0.4996,27
Aatrox,Support,Elise,Jungle,0.4385,7
Aatrox,Support,MonkeyKing,Jungle,0.5683,17
Aatrox,Support,LeeSin,Jungle,0.4387,47
Aatrox,Support,Skarner,Jungle,0.547,6
Aatrox,Support,Nidalee,Jungle,0.5502,9
Aatrox,Support,Udyr,Jungle,0.4526,7
Aatrox,Support,Talon,Jungle,0.493,23
Aatrox,Support,Shyvana,Jungle,0.5549,13
Aatrox,Support,Graves,Jungle,0.5047,32
Aatrox,Support,Rengar,Jungle,0.4289,10
Aatrox,Support,Hecarim,Jungle,0.4827,25
Aatrox,Support,Khazix,Jungle,0.5379,25
Aatrox,Support,Jayce,Jungle,0.4293,7
Aatrox,Support,Diana,Jungle,0.4486,10
Aatrox,Support,Quinn,Jungle,0.4687,5
Aatrox,Support,Kayn,Jungle,0.4289,12
Aatrox,Support,Zyra,Jungle,0.4311,8
Aatrox,Support,Zac,Jungle,0.4934,9
Aatrox,Support,Belveth,Jungle,0.4724,11
Aatrox,Support,Briar,Jungle,0.4376,9
Aatrox,Support,Viego,Jungle,0.4764,40
Aatrox,Support,Zed,Jungle,0.4905,7
Aatrox,Support,Ekko,Jungle,0.4291,14
Aatrox,Support,Qiyana,Jungle,0.4367,23
Aatrox,Support,Vi,Jungle,0.5649,12
Aatrox,Support,RekSai,Jungle,0.513,6
Aatrox,Support,Sylas,Jungle,0.5092,22
Aatrox,Support,Lillia,Jungle,0.485,13
Aatrox,Support,Naafiri,Jungle,0.496,8
Aatrox,Support,Annie,Mid,0.4548,7
Aatrox,Support,Galio,Mid,0.5147,15
Aatrox,Support,TwistedFate,Mid,0.506,21
Aatrox,Support,Leblanc,Mid,0.4893,16
Aatrox,Support,Vladimir,Mid,0.4291,14
Aatrox,Support,Ryze,Mid,0.4893,7
Aatrox,Support,Kassadin,Mid,0.5188,17
Aatrox,Support,Irelia,Mid,0.4811,6
Aatrox,Support,Veigar,Mid,0.4853,11
Aatrox,Support,Katarina,Mid,0.5533,21
Aatrox,Support,Orianna,Mid,0.4329,8
Aatrox,Support,Cassiopeia,Mid,0.5274,8
Aatrox,Support,Nasus,Mid,0.4343,5
Aatrox,Support,Akali,Mid,0.4638,12
Aatrox,Support,Malzahar,Mid,0.429,10
Aatrox,Support,Lux,Mid,0.4322,12
Aatrox,Support,Xerath,Mid,0.4684,14
Aatrox,Support,Ahri,Mid,0.4781,35
Aatrox,Support,Fizz,Mid,0.5593,20
Aatrox,Support,Viktor,Mid,0.4764,40
Aatrox,Support,Lissandra,Mid,0.4468,25
Aatrox,Support,Diana,Mid,0.5055,15
Aatrox,Support,Syndra,Mid,0.4866,25
Aatrox,Support,AurelionSol,Mid,0.5291,6
Aatrox,Support,Zoe,Mid,0.4722,7
Aatrox,Support,Yasuo,Mid,0.4554,26
Aatrox,Support,Akshan,Mid,0.5181,8
Aatrox,Support,Zed,Mid,0.4749,32
Aatrox,Support,Ekko,Mid,0.5093,10
Aatrox,Support,Qiyana,Mid,0.4345,11
Aatrox,Support,Sylas,Mid,0.5205,20
Aatrox,Support,Vex,Mid,0.4929,8
Aatrox,Support,Yone,Mid,0.4567,19
Aatrox,Support,Locke,Mid,0.5194,24
Aatrox,Support,Aurora,Mid,0.5325,7
Aatrox,Support,Hwei,Mid,0.4917,11
Aatrox,Support,Sivir,ADC,0.4367,12
Aatrox,Support,Tristana,ADC,0.4772,41
Aatrox,Support,MissFortune,ADC,0.4759,13
Aatrox,Support,Ashe,ADC,0.5076,24
Aatrox,Support,Twitch,ADC,0.4298,19
Aatrox,Support,Corki,ADC,0.4873,8
Aatrox,Support,Caitlyn,ADC,0.5052,59
Aatrox,Support,Ezreal,ADC,0.4704,44
Aatrox,Support,KogMaw,ADC,0.507,7
Aatrox,Support,Varus,ADC,0.4514,9
Aatrox,Support,Viktor,ADC,0.468,8
Aatrox,Support,Draven,ADC,0.4902,10
Aatrox,Support,Syndra,ADC,0.4708,7
Aatrox,Support,Kaisa,ADC,0.483,65
Aatrox,Support,Seraphine,ADC,0.5249,6
Aatrox,Support,Yasuo,ADC,0.4798,6
Aatrox,Support,Jhin,ADC,0.4773,65
Aatrox,Support,Zeri,ADC,0.473,14
Aatrox,Support,Jinx,ADC,0.5258,43
Aatrox,Support,Lucian,ADC,0.4603,30
Aatrox,Support,Samira,ADC,0.4291,10
Aatrox,Support,Kalista,ADC,0.4685,16
Aatrox,Support,Xayah,ADC,0.5204,12
Aatrox,Support,Aphelios,ADC,0.473,15
Aatrox,Support,Yunara,ADC,0.4768,42
Aatrox,Support,Smolder,ADC,0.4335,9
Aatrox,Support,Alistar,Support,0.4815,17
Aatrox,Support,Soraka,Support,0.5481,14
Aatrox,Support,Morgana,Support,0.4996,11
Aatrox,Support,Zilean,Support,0.432,8
Aatrox,Support,Sona,Support,0.5088,10
Aatrox,Support,Janna,Support,0.5064,16
Aatrox,Support,Karma,Support,0.4861,33
Aatrox,Support,Swain,Support,0.4288,8
Aatrox,Support,Blitzcrank,Support,0.5424,23
Aatrox,Support,Pantheon,Support,0.4298,10
Aatrox,Support,Leona,Support,0.4299,25
Aatrox,Support,Shen,Support,0.4322,6
Aatrox,Support,Lux,Support,0.4343,15
Aatrox,Support,Xerath,Support,0.4891,8
Aatrox,Support,Nautilus,Support,0.4933,27
Aatrox,Support,Lulu,Support,0.521,64
Aatrox,Support,Zyra,Support,0.4322,9
Aatrox,Support,Seraphine,Support,0.4456,31
Aatrox,Support,Velkoz,Support,0.4319,9
Aatrox,Support,Braum,Support,0.4977,16
Aatrox,Support,Senna,Support,0.4989,17
Aatrox,Support,Nami,Support,0.4778,37
Aatrox,Support,Yuumi,Support,0.484,17
Aatrox,Support,Thresh,Support,0.5488,62
Aatrox,Support,Bard,Support,0.5023,21
Aatrox,Support,Rakan,Support,0.4758,10
Aatrox,Support,Rell,Support,0.5476,11
Aatrox,Support,Pyke,Support,0.5108,21
Aatrox,Support,Renata,Support,0.4343,9
Ahri,Top,Fiddlesticks,Jungle,0.5079,6
Ahri,Top,MasterYi,Jungle,0.5632,9
Ahri,Top,Chogath,Jungle,0.5271,11
Ahri,Top,Shaco,Jungle,0.4926,12
Ahri,Top,Nocturne,Jungle,0.5662,11
Ahri,Top,JarvanIV,Jungle,0.4554,13
Ahri,Top,MonkeyKing,Jungle,0.5265,19
Ahri,Top,LeeSin,Jungle,0.488,26
Ahri,Top,Talon,Jungle,0.5419,13
Ahri,Top,Graves,Jungle,0.4994,18
Ahri,Top,Rengar,Jungle,0.5115,6
Ahri,Top,Hecarim,Jungle,0.489,9
Ahri,Top,Khazix,Jungle,0.4925,6
Ahri,Top,Kayn,Jungle,0.49,8
Ahri,Top,Belveth,Jungle,0.4292,7
Ahri,Top,Briar,Jungle,0.443,5
Ahri,Top,Viego,Jungle,0.4547,14
Ahri,Top,Ekko,Jungle,0.565,10
Ahri,Top,Qiyana,Jungle,0.523,15
Ahri,Top,Vi,Jungle,0.4885,9
Ahri,Top,RekSai,Jungle,0.5174,5
Ahri,Top,Sylas,Jungle,0.4458,9
Ahri,Top,Naafiri,Jungle,0.4757,7
Ahri,Top,TwistedFate,Mid,0.4534,10
Ahri,Top,Leblanc,Mid,0.5398,10
Ahri,Top,Vladimir,Mid,0.5701,5
Ahri,Top,Ryze,Mid,0.4983,6
Ahri,Top,Kassadin,Mid,0.51,9
Ahri,Top,Irelia,Mid,0.5274,5
Ahri,Top,Veigar,Mid,0.5341,7
Ahri,Top,Katarina,Mid,0.5299,15
Ahri,Top,Orianna,Mid,0.4952,6
Ahri,Top,Akali,Mid,0.4649,7
Ahri,Top,Lux,Mid,0.4893,7
Ahri,Top,Xerath,Mid,0.5421,9
Ahri,Top,Ahri,Mid,0.447,15
Ahri,Top,Fizz,Mid,0.4875,7
Ahri,Top,Viktor,Mid,0.5611,14
Ahri,Top,Lissandra,Mid,0.4744,10
Ahri,Top,Syndra,Mid,0.4935,18
Ahri,Top,Yasuo,Mid,0.4626,16
Ahri,Top,Zed,Mid,0.443,15
Ahri,Top,Qiyana,Mid,0.5103,5
Ahri,Top,Sylas,Mid,0.4459,15
